x y
0.6029698515 0.5646067416
0.6029698515 0.5646067416
0.6029698515 0.5646067416
0.6029698515 0.5646067416
0.6029698515 0.5646067416
0.6029698515 0.5646067416
0.606741573 0.5612359551
0.5897657036 0.5762640449
0.5940420561 0.5713483146
0.572319371 0.5929775281
0.6319512998 0.5394662921
0.6319512998 0.5394662921
0.5852861809 0.5787921348
0.6114294564 0.554494382
0.6114294564 0.554494382
0.6114294564 0.554494382
0.6142544545 0.5519662921
0.6042140367 0.5598314607
0.6042140367 0.5598314607
0.6042140367 0.5598314607
0.6332891247 0.5365168539
0.6332891247 0.5365168539
0.5762266759 0.5855337079
0.5871533266 0.5738764045
0.5838907073 0.5762640449
0.6357848886 0.533005618
0.6122225696 0.5501404494
0.6178952396 0.5450842697
0.5664204164 0.5922752809
0.6531189256 0.5191011236
0.5827153451 0.5738764045
0.5827153451 0.5738764045
0.6069498069 0.5519662921
0.5914373989 0.5646067416
0.5914373989 0.5646067416
0.5914373989 0.5646067416
0.5914373989 0.5646067416
0.5914373989 0.5646067416
0.5914373989 0.5646067416
0.6105197245 0.547752809
0.5975041347 0.5581460674
0.5817870397 0.5724719101
0.6258827394 0.535252809
0.5940756177 0.5605337079
0.6288180611 0.5320224719
0.5876936568 0.564747191
0.6089613035 0.5459269663
0.6048312171 0.5485955056
0.5680821918 0.5824438202
0.6266600266 0.5301966292
0.619713728 0.5351123596
0.590665874 0.5581460674
0.6143246275 0.5384831461
0.6053657776 0.5450842697
0.6053657776 0.5450842697
0.6053657776 0.5450842697
0.6118096451 0.5398876404
0.60281821 0.5467696629
0.6133781405 0.5383426966
0.5692328995 0.5773876404
0.5968626256 0.5504213483
0.6284611512 0.5259831461
0.573867645 0.5712078652
0.6023573201 0.545505618
0.5899537934 0.5558988764
0.5977046672 0.5485955056
0.604091832 0.543258427
0.5759043008 0.5679775281
0.6097405698 0.5380617978
0.7203588977 0.4735955056
0.7203588977 0.4735955056
0.5949232406 0.5497191011
0.5813818182 0.5613764045
0.5813818182 0.5613764045
0.5808044141 0.5617977528
0.5767355135 0.564747191
0.5767355135 0.564747191
0.5767355135 0.564747191
0.6420793818 0.5134831461
0.6044025157 0.5398876404
0.6213527851 0.5264044944
0.641025641 0.5126404494
0.5838619265 0.5558988764
0.5838619265 0.5558988764
0.6110127194 0.533005618
0.6426930553 0.5108146067
