t x y z
604 1 -2 8
605 2 -2 8
606 1 -2 8
607 1 -2 8
608 3 -2 7
609 3 -2 8
610 2 -3 9
611 3 -3 9
612 3 -3 10
613 2 -3 11
614 3 -3 10
615 2 -3 10
616 -1 -4 11
617 -1 -4 10
618 1 -3 9
619 -2 -4 11
620 -3 -4 11
621 -3 -4 9
622 -3 -4 10
623 -4 -4 9
624 -4 -5 8
625 -5 -5 9
626 -5 -5 10
627 -3 -4 9
628 -3 -4 8
629 -3 -4 9
630 -3 -4 9
631 -2 -4 8
632 -2 -3 9
633 -1 -3 9
634 -1 -3 7
635 1 -2 6
636 1 -2 8
637 -1 -3 9
638 -1 -4 10
639 -1 -4 11
640 -2 -4 12
641 -1 -3 12
642 2 -2 12
643 1 -4 11
644 -2 -4 12
645 -1 -3 11
646 1 -2 10
647 2 -1 8
648 -1 -2 8
649 -3 -4 7
650 -2 -4 7
651 -2 -3 9
652 -3 -4 12
653 -3 -4 13
654 -3 -4 14
655 -1 -3 14
656 -2 -3 13
657 -3 -4 12
658 -3 -4 11
659 -2 -3 11
660 -1 -3 11
661 -1 -3 11
662 -1 -3 10
663 -1 -3 10
664 -2 -3 9
665 -1 -3 8
666 -1 -3 8
667 -2 -4 9
668 -2 -4 9
669 -1 -4 8
670 -1 -4 8
671 -2 -4 8
672 -2 -4 7
673 -1 -4 7
674 -1 -3 6
675 -2 -4 6
676 -2 -4 6
677 -1 -3 5
678 -1 -3 6
679 -1 -3 7
680 -2 -3 7
681 -2 -3 7
682 -1 -2 8
683 -2 -3 10
684 -2 -2 11
685 -1 -1 10
686 -1 -1 11
687 -3 -2 12
688 -2 -2 12
689 -2 -2 12
690 -4 -2 13
691 -3 -2 12
692 -2 -2 12
693 -3 -2 13
694 -3 -2 13
695 -2 -2 13
696 -2 -2 13
697 -2 -1 13
698 -2 -1 13
699 -1 -1 12
700 -2 -1 11
701 -2 -2 11
702 -2 -2 11
703 -1 -1 10
704 -1 -2 10
705 -1 -2 9
706 -1 -2 8
707 1 -2 7
708 1 -2 6
709 0 -3 5
710 -1 -3 3
711 -1 -3 3
712 -1 -4 3
713 -2 -4 4
714 -2 -4 4
715 -2 -3 5
716 -2 -3 5
717 -2 -3 7
718 -2 -2 8
719 -3 -2 9
720 -3 -2 10
721 -2 -1 10
722 -2 -1 10
723 -3 -1 11
724 -3 -1 11
725 -3 -1 12
726 -3 -1 12
727 -3 0 12
728 -3 1 12
729 -2 1 13
730 -3 0 13
731 -3 -1 13
732 -3 -1 13
733 -3 -1 13
734 -3 -1 13
735 -2 0 13
736 -2 1 13
737 -3 0 12
738 -3 -1 12
739 -3 -1 11
740 -2 -1 11
741 -3 -1 11
742 -2 -1 10
743 -1 -1 10
744 -1 -1 9
745 -2 -2 9
746 -2 -2 8
747 -1 -2 6
748 -1 -3 6
749 -2 -3 7
750 -2 -3 6
751 -1 -3 6
752 -1 -3 6
753 -2 -5 7
754 -3 -5 7
755 -2 -4 7
756 -2 -4 8
757 -2 -4 9
758 -2 -5 10
759 -2 -4 10
760 -2 -4 10
761 -3 -4 10
762 -3 -4 10
763 -2 -4 10
764 -2 -4 10
765 -2 -3 11
766 -1 -3 10
767 1 -2 8
768 1 -2 7
769 -1 -3 7
770 -2 -3 7
771 -2 -3 6
772 -1 -2 7
773 -2 -2 7
774 -2 -1 6
775 -1 -1 7
776 -1 -1 9
777 -2 -1 10
778 -3 -1 8
779 -2 -1 8
780 -2 -1 10
781 -2 0 11
782 -2 1 10
783 -3 1 11
784 -3 1 12
785 -2 2 12
786 -2 3 12
787 -4 2 12
788 -3 3 12
789 -2 4 12
790 -2 4 12
791 -3 3 12
792 -2 3 12
793 0 4 12
794 -1 4 12
795 -1 3 12
796 -1 3 12
797 2 4 12
798 2 3 11
799 1 2 11
800 1 2 10
801 2 2 10
802 2 2 10
803 1 1 10
804 1 1 10
805 1 1 10
806 1 2 10
807 -1 2 10
808 -1 2 11
809 1 2 11
810 1 2 11
811 1 1 10
812 1 2 8
813 0 2 9
814 -1 2 10
815 -2 2 11
816 -2 2 10
817 -2 2 8
818 -2 3 8
819 -2 4 9
820 -3 4 9
821 -4 4 10
822 -4 5 10
823 -4 5 11
824 -5 6 11
825 -5 7 10
826 -4 6 10
827 -4 5 11
828 -3 5 11
829 -3 5 10
830 -3 4 9
831 -4 3 8
832 -4 2 7
833 -3 2 7
834 -3 2 7
835 -3 2 8
836 -4 3 8
837 -4 4 8
838 -4 4 9
839 -4 5 10
840 -4 5 11
841 -5 5 11
842 -6 6 11
843 -7 6 11
844 -7 4 11
845 -7 2 11
846 -6 2 11
847 -7 3 11
848 -8 3 10
849 -8 3 9
850 -7 3 8
851 -6 4 8
852 -5 5 8
853 -5 6 8
854 -5 6 7
855 -4 7 7
856 -4 7 8
857 -4 7 8
858 -5 7 8
859 -6 7 8
860 -6 6 8
861 -5 3 10
862 -5 2 10
863 -6 3 10
864 -6 4 8
865 -7 2 8
866 -7 1 8
867 -6 -1 7
868 -5 -1 7
869 -4 0 7
870 -4 -1 8
871 -5 -2 10
872 -4 -2 10
873 -4 -1 10
874 -5 -2 11
875 -6 -2 11
876 -7 -2 11
877 -7 -2 11
878 -8 -1 11
879 -9 -2 12
880 -8 -2 11
881 -5 1 9
882 -4 2 7
883 -4 2 8
884 -6 2 8
885 -7 1 9
886 -6 1 8
887 -5 1 8
888 -4 -1 8
889 -4 -1 8
890 -4 -1 7
891 -3 -2 7
892 -4 -3 8
893 -4 -3 7
894 -4 -4 8
895 -4 -4 8
896 -4 -4 9
897 -3 -4 10
898 -3 -4 11
899 -2 -3 11
900 -3 -3 11
901 -4 -3 11
902 -4 -2 11
903 -2 -1 10
904 -1 -1 10
905 -1 -1 10
906 -1 0 10
907 -2 -1 10
908 -2 -1 10
909 -2 -1 10
910 -2 -1 10
911 -2 -2 10
912 -1 -2 10
913 1 -3 10
914 2 -3 10
915 2 -4 9
916 2 -4 9
917 2 -5 9
918 3 -5 9
919 3 -4 10
920 3 -4 10
921 2 -3 9
922 2 -3 9
923 1 -2 11
924 -1 -2 11
925 1 -2 11
926 2 -1 9
927 4 -1 9
928 3 -1 11
929 2 -1 11
930 3 -1 10
931 2 -2 11
932 1 -2 11
933 1 -2 9
934 1 -2 8
935 1 -2 9
936 1 -3 11
937 2 -3 11
938 3 -2 10
939 5 -2 10
940 4 -2 10
941 2 -2 11
942 2 -1 11
943 3 0 11
944 2 0 10
945 1 1 10
946 1 2 11
947 2 3 11
948 3 3 11
949 3 3 11
950 2 2 10
951 1 1 9
952 -1 -1 9
953 -1 0 10
954 -1 1 11
955 -1 1 10
956 -1 1 11
957 -2 1 11
958 -1 1 10
959 -1 1 10
960 -3 -1 11
961 -2 -2 10
962 -1 -2 8
963 -1 -2 8
964 -1 -3 9
965 1 -2 9
966 1 -1 10
967 -1 -2 10
968 -3 -1 10
969 -2 -1 8
970 -2 2 8
971 -3 3 9
972 -4 4 9
973 -2 6 8
974 -2 6 9
975 -4 5 10
976 -4 5 10
977 -4 6 9
978 -5 7 8
979 -6 6 8
980 -7 7 7
981 -7 8 7
982 -8 8 9
983 -9 7 10
984 -8 7 10
985 -7 7 9
986 -7 7 8
987 -7 6 6
988 -6 6 5
989 -6 7 5
990 -6 7 4
991 -7 7 4
992 -8 7 4
993 -8 8 5
994 -7 9 5
995 -5 7 6
996 -5 6 7
997 -5 6 8
998 -6 6 7
999 -5 7 7
1000 -5 6 7
1001 -5 5 7
1002 -5 5 6
1003 -5 6 6
1004 -5 6 6
1005 -5 6 7
1006 -5 7 7
1007 -5 6 8
1008 -6 5 8
1009 -6 5 8
1010 -6 5 8
1011 -6 5 8
1012 -5 5 9
1013 -4 6 9
1014 -4 5 9
1015 -5 6 9
1016 -6 6 10
1017 -6 5 10
1018 -5 5 9
1019 -4 5 9
1020 -5 5 9
1021 -6 5 10
1022 -4 6 11
1023 -4 5 11
1024 -6 4 10
1025 -7 3 10
1026 -6 3 10
1027 -5 4 10
1028 -6 3 11
1029 -6 2 11
1030 -5 2 10
1031 -4 2 11
1032 -4 2 11
1033 -4 1 11
1034 -4 1 11
1035 -3 1 11
1036 -3 0 11
1037 -3 1 10
1038 -2 1 8
1039 1 0 8
1040 -1 -1 8
1041 -3 -2 8
1042 -3 -1 7
1043 -2 0 7
1044 -2 -1 8
1045 -2 -1 8
1046 -2 -2 8
1047 -2 -2 9
1048 -2 -2 10
1049 -2 -2 10
1050 -2 -2 10
1051 -2 -2 10
1052 -3 -2 9
1053 -3 -2 9
1054 -2 -2 9
1055 -2 -3 9
1056 -3 -3 10
1057 -2 -2 10
1058 0 -1 9
1059 -1 -2 10
1060 -1 -2 11
1061 1 -2 11
1062 2 -1 11
1063 1 -2 11
1064 2 -1 12
1065 1 -1 12
1066 -2 -2 12
1067 -3 -3 13
1068 -3 -2 12
1069 -4 -2 12
1070 -5 -3 12
1071 -6 -3 11
1072 -6 -3 11
1073 -6 -3 10
1074 -7 -4 9
1075 -6 -4 8
1076 -6 -4 7
1077 -6 -4 8
1078 -5 -4 7
1079 -4 -4 6
1080 -4 -4 6
1081 -3 -4 6
1082 -2 -3 6
1083 -1 -3 6
1084 -1 -3 6
1085 1 -4 6
1086 2 -3 6
1087 2 -3 5
1088 2 -3 7
1089 2 -3 7
1090 4 -2 7
1091 3 -2 8
1092 2 -3 10
1093 4 -2 9
1094 4 -1 10
1095 2 -2 11
1096 2 -2 11
1097 2 -1 11
1098 2 -1 12
1099 1 -1 12
1100 2 -1 12
1101 0 -1 12
1102 -1 -1 12
1103 -1 -1 12
1104 -1 -1 12
1105 -3 -1 12
1106 -3 -1 12
1107 -3 -1 11
1108 -3 -2 10
1109 -3 -2 10
1110 -3 -2 10
1111 -2 -1 9
1112 -2 -1 10
1113 -3 -2 11
1114 -2 -1 10
1115 -1 -1 10
1116 -1 -1 10
1117 -2 -2 10
1118 -1 -1 10
1119 1 -1 10
1120 0 -1 10
1121 -1 -1 11
1122 -1 0 10
1123 1 1 9
1124 1 1 9
1125 -1 2 8
1126 1 2 7
1127 1 2 5
1128 -1 2 4
1129 -2 2 6
1130 -3 2 7
1131 -4 2 7
1132 -4 3 8
1133 -4 3 10
1134 -5 3 11
1135 -5 3 11
1136 -5 4 11
1137 -6 4 11
1138 -6 4 11
1139 -6 4 11
1140 -7 4 11
1141 -7 4 11
1142 -6 4 11
1143 -6 5 11
1144 -5 4 10
1145 -6 4 11
1146 -6 3 11
1147 -5 4 10
1148 -4 4 8
1149 -3 4 8
1150 -3 4 8
1151 -3 4 7
1152 -3 3 7
1153 -2 3 6
1154 -3 3 6
1155 -3 3 6
1156 -3 3 7
1157 -2 3 6
1158 -2 3 7
1159 -1 3 7
1160 -1 3 8
1161 -3 3 8
1162 -4 3 9
1163 -4 3 10
1164 -4 5 11
1165 -4 5 11
1166 -4 5 11
1167 -4 6 11
1168 -5 4 11
1169 -5 3 11
1170 -4 3 11
1171 -5 4 11
1172 -6 2 11
1173 -5 2 11
1174 -3 3 11
1175 -5 2 11
1176 -5 2 11
1177 -3 3 11
1178 -3 2 11
1179 -5 1 11
1180 -5 1 11
1181 -4 2 10
1182 -5 1 11
1183 -5 1 12
1184 -5 -1 10
1185 -3 1 11
1186 0 2 10
1187 -3 -2 12
1188 -4 -4 11
1189 -1 -1 10
1190 1 2 10
1191 1 1 10
