t x y z
578 -2 -1 8
579 1 1 7
580 1 1 7
581 -1 0 8
582 -2 -1 8
583 -1 1 8
584 -1 1 9
585 -1 1 8
586 -1 1 8
587 -2 1 10
588 -3 0 11
589 -3 1 10
590 -4 1 11
591 -5 0 12
592 -4 1 11
593 -4 2 11
594 -5 1 12
595 -5 1 12
596 -3 2 12
597 -3 3 11
598 -3 3 11
599 -4 2 11
600 -4 3 11
601 -5 3 11
602 -5 2 11
603 -5 2 11
604 -5 2 11
605 -5 3 10
606 -5 3 9
607 -6 4 8
608 -6 4 8
609 -6 4 8
610 -6 4 8
611 -6 4 8
612 -6 4 8
613 -6 4 8
614 -6 4 8
615 -6 4 8
616 -6 5 8
617 -6 4 8
618 -6 4 8
619 -6 4 8
620 -6 4 8
621 -6 4 8
622 -6 4 8
623 -5 4 9
624 -5 4 9
625 -5 3 8
626 -5 3 8
627 -5 3 8
628 -4 4 9
629 -5 4 9
630 -5 4 10
631 -5 5 9
632 -5 6 9
633 -6 5 9
634 -6 5 9
635 -5 6 8
636 -5 5 7
637 -5 5 6
638 -5 5 7
639 -4 5 7
640 -2 5 8
641 -2 6 8
642 -2 6 9
643 -2 6 9
644 -2 7 9
645 -2 7 9
646 -3 7 10
647 -4 7 10
648 -4 6 10
649 -4 6 10
650 -4 6 10
651 -4 6 9
652 -3 6 8
653 -2 7 8
654 -2 6 8
655 -4 6 7
656 -4 6 7
657 -4 6 7
658 -6 5 9
659 -9 2 11
660 -7 4 10
661 -3 6 9
662 0 8 10
663 1 8 8
664 -1 7 7
665 -1 7 7
666 -2 7 7
667 -2 7 7
668 -2 7 7
669 -3 7 7
670 -3 7 8
671 -3 7 8
672 -2 8 8
673 -2 8 8
674 -3 8 7
675 -3 7 8
676 -4 7 9
677 -5 6 10
678 -5 6 9
679 -4 6 9
680 -3 6 9
681 -3 6 8
682 -4 6 9
683 -4 7 9
684 -4 7 9
685 -4 6 9
686 -4 5 8
687 -4 5 7
688 -3 5 7
689 -3 6 9
690 -3 7 11
691 -4 6 11
692 -6 4 11
693 -6 4 10
694 -4 4 11
695 -4 4 11
696 -4 4 11
697 -4 4 11
698 -4 4 11
699 -4 4 11
700 -4 5 11
701 -4 5 11
702 -4 5 11
703 -4 5 11
704 -3 5 10
705 -3 5 8
706 -3 4 8
707 -3 4 9
708 -3 3 8
709 -3 3 8
710 -3 3 7
711 -2 3 8
712 -2 2 8
713 -3 2 8
714 -2 1 8
715 -2 1 8
716 -1 1 8
717 -2 -1 9
718 -2 -1 9
719 -1 -1 9
720 -1 -1 8
721 -2 -2 9
722 -3 -2 10
723 -2 -2 11
724 -2 -1 11
725 -2 -1 11
726 -3 -2 12
727 -4 -2 13
728 -4 -2 13
729 -3 -2 13
730 -4 -2 13
731 -4 -2 12
732 -3 -2 12
733 -2 -2 11
734 -2 -2 11
735 -1 -1 9
736 1 -1 8
737 -1 -2 8
738 -1 -2 7
739 -1 -2 6
740 -1 -2 6
741 -2 -3 5
742 -2 -3 4
743 -1 -3 3
744 -2 -4 3
745 -3 -4 3
746 -2 -4 3
747 -2 -3 5
748 -2 -3 6
749 -2 -3 6
750 -2 -3 8
751 -2 -2 9
752 -2 -2 9
753 -2 -2 11
754 -3 -2 11
755 -3 -2 10
756 -2 -1 12
757 -2 -2 13
758 -3 -2 13
759 -1 -1 13
760 1 -1 13
761 1 -1 13
762 2 -1 12
763 4 1 12
764 3 -1 12
765 3 -1 12
766 4 1 11
767 4 1 11
768 2 0 11
769 2 1 11
770 1 1 10
771 -2 -1 10
772 -2 -1 10
773 -2 -1 10
774 -3 -1 10
775 -5 -2 10
776 -5 -2 9
777 -4 -2 9
778 -4 -2 10
779 -5 -2 10
780 -3 -2 10
781 -2 -1 10
782 -2 -1 10
783 -3 -2 10
784 -2 -1 10
785 -1 -1 10
786 -1 -1 10
787 -1 -1 10
788 -1 1 9
789 1 1 8
790 1 1 8
791 -1 1 8
792 -1 1 8
793 0 2 7
794 1 2 8
795 -1 1 8
796 -2 0 7
797 -2 1 8
798 -3 -1 10
799 -3 -1 9
800 -2 1 10
801 -3 1 11
802 -3 1 11
803 -3 1 11
804 -4 1 12
805 -4 2 12
806 -4 2 12
807 -6 1 14
808 -8 -2 15
809 -9 -2 15
810 -9 -2 16
811 -10 -2 16
812 -11 -3 16
813 -11 -5 16
814 -11 -5 16
815 -10 -5 15
816 -10 -6 14
817 -8 -5 13
818 -5 -4 11
819 -3 -5 8
820 -3 -5 7
821 -1 -5 4
822 0 -5 -1
823 -1 -5 -3
824 -1 -5 -2
825 1 -3 -3
826 3 -3 -5
827 2 -3 -6
828 1 -3 -5
829 0 -4 -4
830 -1 -5 -4
831 1 -5 -4
832 2 -4 -4
833 -1 -5 -5
834 2 -5 -5
835 7 -3 -3
836 9 -3 -1
837 8 -3 -3
838 6 -4 -4
839 6 -4 -4
840 7 -5 -3
841 6 -4 -3
842 6 -3 -2
843 6 -1 -2
844 4 1 -3
845 1 -1 -4
846 1 -1 -3
847 3 1 -5
848 4 2 -6
849 4 1 -6
850 4 -1 -5
851 5 -1 -6
852 6 -2 -7
853 5 -4 -7
854 2 -5 -6
855 1 -4 -9
856 0 -3 -7
857 -6 -5 -1
858 -5 -6 3
859 1 -5 4
860 -4 -6 5
861 -8 -8 6
862 -6 -7 7
863 -7 -6 7
864 -11 -7 6
865 -11 -8 9
866 -10 -5 10
867 -12 -5 9
868 -15 -7 11
869 -13 -6 11
870 -14 -6 11
871 -15 -7 12
872 -13 -6 12
873 -12 -5 12
874 -11 -4 11
875 -8 1 12
876 -7 2 12
877 -9 1 12
878 -11 -2 12
879 -10 1 10
880 -4 2 9
881 -2 1 11
882 -4 -1 10
883 -5 0 9
884 -4 -1 10
885 -4 -1 10
886 -4 -1 10
887 -4 0 10
888 -5 -1 10
889 -4 -1 10
890 -4 1 11
891 -4 1 11
892 -4 -1 12
893 -5 -3 13
894 -4 -3 14
895 -3 -1 15
896 -4 0 14
897 -5 1 13
898 -5 1 12
899 -6 1 11
900 -6 2 9
901 -6 2 9
902 -6 1 11
903 -5 -1 10
904 -5 -2 11
905 -4 -2 11
906 -3 -2 11
907 -3 -2 11
908 -2 -2 10
909 -2 -2 10
910 -3 -3 10
911 -3 -3 9
912 -2 -3 8
913 -3 -3 9
914 -3 -3 10
915 -1 -2 8
916 2 -2 7
917 1 -2 10
918 -1 -2 11
919 2 -1 7
920 2 -1 5
921 -1 -3 7
922 -2 -4 9
923 2 -2 6
924 2 -2 5
925 -2 -3 9
926 -1 -1 10
927 1 -1 8
928 -2 -1 8
929 -2 -1 9
930 -2 -1 8
931 -3 -1 8
932 -2 0 9
933 -2 1 11
934 -2 1 10
935 -1 1 9
936 -1 1 10
937 -1 1 11
938 -2 -1 10
939 -1 -1 9
940 -1 -1 10
941 -1 -1 10
942 -1 -1 10
943 0 0 11
944 -1 -1 11
945 -1 -1 12
946 0 -2 13
947 -1 -3 13
948 -2 -3 14
949 -1 -2 13
950 -1 -2 13
951 -2 -2 13
952 -1 -1 12
953 -1 -1 11
954 -1 -2 11
955 -1 -2 10
956 -1 -1 7
957 -1 -2 7
958 -2 -3 7
959 -1 -2 6
960 -1 -3 4
961 -2 -4 4
962 -2 -4 3
963 -1 -4 2
964 -1 -4 2
965 -1 -4 3
966 -1 -4 3
967 -1 -4 3
968 -2 -4 4
969 -1 -3 5
970 -1 -3 7
971 -2 -3 9
972 -2 -2 9
973 -1 -2 10
974 -1 -2 11
975 -1 -1 12
976 -1 -1 12
977 -2 -1 13
978 -2 -1 14
979 -2 -1 13
980 -2 -1 13
981 -2 -2 14
982 -2 -2 14
983 -2 -2 14
984 -2 -2 14
985 -2 -1 14
986 -1 -1 14
987 -1 1 13
988 -1 0 12
989 -1 -1 11
990 -1 -1 11
991 1 -1 10
992 1 -1 9
993 0 -1 9
994 0 -2 8
995 0 -2 7
996 -1 -3 7
997 -1 -3 6
998 0 -3 5
999 -1 -4 4
1000 -1 -4 4
1001 0 -4 3
1002 0 -4 4
1003 0 -5 4
1004 -1 -5 4
1005 -1 -5 4
1006 -1 -4 5
1007 -1 -4 5
1008 -1 -4 6
1009 -2 -4 8
1010 -1 -3 10
1011 -1 -3 10
1012 -2 -3 10
1013 -2 -3 10
1014 -3 -3 10
1015 -2 -2 11
1016 -2 -2 12
1017 -3 -3 12
1018 -3 -2 12
1019 -2 -1 11
1020 -2 -2 12
1021 -3 -2 13
1022 -3 -2 12
1023 -3 -2 12
1024 -3 -2 12
1025 -2 -1 12
1026 -2 -1 11
1027 -2 -1 11
1028 -2 -1 11
1029 -2 -1 10
1030 -1 -1 10
1031 -1 -1 10
1032 -2 -1 10
1033 -2 -1 10
1034 -1 -1 10
1035 -2 -1 10
1036 -2 -1 10
1037 -2 -1 10
1038 -2 -1 10
