x y fscore
0.7762024408 0.6074438202 0.6815316735
0.8244213887 0.5803370787 0.6811737554
0.8548695099 0.5658707865 0.6809769289
0.8548695099 0.5658707865 0.6809769289
0.8495798319 0.5679775281 0.6808080808
0.8495798319 0.5679775281 0.6808080808
0.8495798319 0.5679775281 0.6808080808
0.8398598516 0.5723314607 0.6807550952
0.8493697479 0.5678370787 0.6806397306
0.7510598609 0.6220505618 0.6804947377
0.8285253177 0.5768258427 0.6801357953
0.8433860233 0.5695224719 0.6799128102
0.8357230643 0.5730337079 0.6798866856
0.7955572289 0.5935393258 0.6798584299
0.8355182302 0.5728932584 0.6797200467
0.8355182302 0.5728932584 0.6797200467
0.7564124634 0.6171348315 0.6797122747
0.8481092437 0.566994382 0.6796296296
0.806364513 0.5872191011 0.679561154
0.806364513 0.5872191011 0.679561154
0.7858723718 0.5984550562 0.6794769574
0.8368648426 0.5713483146 0.6790752024
0.869488923 0.556741573 0.6788252419
0.7192071732 0.6421348315 0.678489278
0.8526472464 0.5632022472 0.6783388311
0.8526472464 0.5632022472 0.6783388311
0.8526472464 0.5632022472 0.6783388311
0.7769314472 0.6016853933 0.6781700174
0.7414569095 0.6247191011 0.678100465
0.8257010288 0.5748595506 0.6778173387
0.776206021 0.6011235955 0.6775368054
0.8515840953 0.5625 0.6774930221
0.8515840953 0.5625 0.6774930221
0.8515840953 0.5625 0.6774930221
0.8515840953 0.5625 0.6774930221
0.8515840953 0.5625 0.6774930221
0.8882554162 0.5470505618 0.6770969144
0.8201079352 0.5762640449 0.676895158
0.7796299689 0.597752809 0.6766833612
0.8777429467 0.5505617978 0.6766787502
0.8777429467 0.5505617978 0.6766787502
0.8777429467 0.5505617978 0.6766787502
0.8777429467 0.5505617978 0.6766787502
0.8777429467 0.5505617978 0.6766787502
0.8777429467 0.5505617978 0.6766787502
0.8777429467 0.5505617978 0.6766787502
0.8500956836 0.5615168539 0.6763088895
0.8500956836 0.5615168539 0.6763088895
0.8500956836 0.5615168539 0.6763088895
0.8058686358 0.5824438202 0.6761780532
0.8058686358 0.5824438202 0.6761780532
0.7690241719 0.6032303371 0.676111767
0.7990797546 0.5853932584 0.6757457847
0.8862029647 0.5457865169 0.6755323772
0.7711038961 0.6004213483 0.6751421352
0.8457795642 0.5615168539 0.6749388031
0.8224601091 0.5719101124 0.6746748405
0.8224601091 0.5719101124 0.6746748405
0.7758494702 0.596488764 0.6744481499
0.8131693772 0.5758426966 0.674231212
0.8219122701 0.5710674157 0.6739040358
0.789066918 0.5879213483 0.6738028169
0.8533275899 0.5564606742 0.6736376775
0.8533275899 0.5564606742 0.6736376775
0.8533275899 0.5564606742 0.6736376775
0.8533275899 0.5564606742 0.6736376775
0.8533275899 0.5564606742 0.6736376775
0.8533275899 0.5564606742 0.6736376775
0.8533275899 0.5564606742 0.6736376775
0.8533275899 0.5564606742 0.6736376775
0.8533275899 0.5564606742 0.6736376775
0.8215079846 0.5707865169 0.6735725532
0.8215079846 0.5707865169 0.6735725532
0.8215079846 0.5707865169 0.6735725532
0.8215079846 0.5707865169 0.6735725532
0.7841015115 0.5901685393 0.6734513983
0.8721216186 0.5478932584 0.672992323
0.7349417637 0.6203651685 0.672810358
0.8376963351 0.5617977528 0.6725514922
0.8022191941 0.5787921348 0.6724320796
0.8435777872 0.558988764 0.6724108802
0.7124665933 0.6365168539 0.672353683
0.8198908429 0.5696629213 0.672246623
0.8431538788 0.5587078652 0.6720729853
0.7639584825 0.5995786517 0.6718602455
0.8368244659 0.5610955056 0.6717672776
0.8701095462 0.5466292135 0.6714396619
