x y C
13 47 15.0
14 0 4.0
14 1 17.0
14 2 6.0
14 3 1.0
14 4 15.0
14 5 11.0
14 6 1.0
14 7 12.0
14 8 11.0
14 9 17.0
14 10 22.0
14 11 27.0
14 12 26.0
14 13 31.0
14 14 32.0
14 15 21.0
14 16 23.0
14 17 17.0
14 18 13.0
14 19 17.0
14 20 3.0
14 21 1.0
14 22 2.0
14 23 13.0
14 24 16.0
14 25 23.0
14 26 29.0
14 27 27.0
14 28 20.0
14 29 21.0
14 30 32.0
14 31 38.0
14 32 38.0
14 33 34.0
14 34 34.0
14 35 27.0
14 36 21.0
14 37 20.0
14 38 16.0
14 39 12.0
14 40 9.0
14 41 5.0
14 42 0.0
14 43 4.0
14 44 0.0
14 45 1.0
14 46 7.0
14 47 16.0
15 0 2.0
15 1 15.0
15 2 4.0
15 3 1.0
15 4 13.0
15 5 9.0
15 6 1.0
15 7 14.0
15 8 13.0
15 9 19.0
15 10 24.0
15 11 29.0
15 12 28.0
15 13 33.0
15 14 34.0
15 15 23.0
15 16 25.0
15 17 19.0
15 18 15.0
15 19 19.0
15 20 5.0
15 21 3.0
15 22 0.0
15 23 11.0
15 24 14.0
15 25 21.0
15 26 27.0
15 27 25.0
15 28 18.0
15 29 19.0
15 30 30.0
15 31 36.0
15 32 36.0
15 33 32.0
15 34 32.0
15 35 25.0
15 36 19.0
15 37 18.0
15 38 14.0
15 39 10.0
15 40 7.0
15 41 3.0
15 42 2.0
15 43 6.0
15 44 2.0
15 45 3.0
15 46 9.0
15 47 18.0
16 0 6.0
16 1 7.0
16 2 4.0
16 3 9.0
16 4 5.0
16 5 1.0
16 6 9.0
16 7 22.0
16 8 21.0
16 9 27.0
16 10 32.0
16 11 37.0
16 12 36.0
16 13 41.0
16 14 42.0
16 15 31.0
16 16 33.0
16 17 27.0
16 18 23.0
16 19 27.0
16 20 13.0
16 21 11.0
16 22 8.0
16 23 3.0
16 24 6.0
16 25 13.0
16 26 19.0
16 27 17.0
16 28 10.0
16 29 11.0
16 30 22.0
16 31 28.0
16 32 28.0
16 33 24.0
16 34 24.0
16 35 17.0
16 36 11.0
16 37 10.0
16 38 6.0
16 39 2.0
16 40 1.0
16 41 5.0
16 42 10.0
16 43 14.0
16 44 10.0
16 45 11.0
16 46 17.0
16 47 26.0
17 0 4.0
17 1 9.0
17 2 2.0
17 3 7.0
17 4 7.0
17 5 3.0
17 6 7.0
17 7 20.0
17 8 19.0
17 9 25.0
17 10 30.0
17 11 35.0
17 12 34.0
17 13 39.0
17 14 40.0
17 15 29.0
17 16 31.0
17 17 25.0
17 18 21.0
17 19 25.0
17 20 11.0
17 21 9.0
17 22 6.0
17 23 5.0
17 24 8.0
17 25 15.0
17 26 21.0
17 27 19.0
17 28 12.0
17 29 13.0
17 30 24.0
17 31 30.0
17 32 30.0
17 33 26.0
17 34 26.0
17 35 19.0
17 36 13.0
17 37 12.0
17 38 8.0
17 39 4.0
17 40 1.0
17 41 3.0
17 42 8.0
17 43 12.0
17 44 8.0
17 45 9.0
17 46 15.0
17 47 24.0
18 0 11.0
18 1 2.0
18 2 9.0
18 3 14.0
18 4 0.0
18 5 4.0
18 6 14.0
18 7 27.0
18 8 26.0
18 9 32.0
18 10 37.0
18 11 42.0
18 12 41.0
18 13 46.0
18 14 47.0
18 15 36.0
18 16 38.0
18 17 32.0
18 18 28.0
18 19 32.0
18 20 18.0
18 21 16.0
18 22 13.0
18 23 2.0
18 24 1.0
18 25 8.0
18 26 14.0
18 27 12.0
18 28 5.0
18 29 6.0
18 30 17.0
18 31 23.0
18 32 23.0
18 33 19.0
18 34 19.0
18 35 12.0
18 36 6.0
18 37 5.0
18 38 1.0
18 39 3.0
18 40 6.0
18 41 10.0
18 42 15.0
18 43 19.0
18 44 15.0
18 45 16.0
18 46 22.0
18 47 31.0
19 0 17.0
19 1 4.0
19 2 15.0
19 3 20.0
19 4 6.0
19 5 10.0
19 6 20.0
19 7 33.0
19 8 32.0
19 9 38.0
19 10 43.0
19 11 48.0
19 12 47.0
19 13 52.0
19 14 53.0
19 15 42.0
19 16 44.0
19 17 38.0
19 18 34.0
19 19 38.0
19 20 24.0
19 21 22.0
19 22 19.0
19 23 8.0
19 24 5.0
19 25 2.0
19 26 8.0
19 27 6.0
19 28 1.0
19 29 0.0
19 30 11.0
19 31 17.0
19 32 17.0
19 33 13.0
19 34 13.0
19 35 6.0
19 36 0.0
19 37 1.0
19 38 5.0
19 39 9.0
19 40 12.0
19 41 16.0
19 42 21.0
19 43 25.0
19 44 21.0
19 45 22.0
19 46 28.0
19 47 37.0
20 0 20.0
20 1 7.0
20 2 18.0
20 3 23.0
20 4 9.0
20 5 13.0
20 6 23.0
20 7 36.0
20 8 35.0
20 9 41.0
20 10 46.0
20 11 51.0
20 12 50.0
20 13 55.0
20 14 56.0
20 15 45.0
20 16 47.0
20 17 41.0
20 18 37.0
20 19 41.0
20 20 27.0
20 21 25.0
20 22 22.0
20 23 11.0
20 24 8.0
20 25 1.0
20 26 5.0
20 27 3.0
20 28 4.0
20 29 3.0
20 30 8.0
20 31 14.0
20 32 14.0
20 33 10.0
20 34 10.0
20 35 3.0
20 36 3.0
20 37 4.0
20 38 8.0
20 39 12.0
20 40 15.0
20 41 19.0
20 42 24.0
20 43 28.0
20 44 24.0
20 45 25.0
20 46 31.0
20 47 40.0
21 0 25.0
21 1 12.0
21 2 23.0
21 3 28.0
21 4 14.0
21 5 18.0
21 6 28.0
21 7 41.0
21 8 40.0
21 9 46.0
21 10 51.0
21 11 56.0
21 12 55.0
21 13 60.0
21 14 61.0
21 15 50.0
21 16 52.0
21 17 46.0
21 18 42.0
21 19 46.0
21 20 32.0
21 21 30.0
21 22 27.0
21 23 16.0
21 24 13.0
21 25 6.0
21 26 0.0
21 27 2.0
21 28 9.0
21 29 8.0
21 30 3.0
21 31 9.0
21 32 9.0
21 33 5.0
21 34 5.0
21 35 2.0
21 36 8.0
21 37 9.0
21 38 13.0
21 39 17.0
21 40 20.0
21 41 24.0
21 42 29.0
21 43 33.0
21 44 29.0
21 45 30.0
21 46 36.0
21 47 45.0
22 0 21.0
22 1 8.0
22 2 19.0
22 3 24.0
22 4 10.0
22 5 14.0
22 6 24.0
22 7 37.0
22 8 36.0
22 9 42.0
22 10 47.0
22 11 52.0
22 12 51.0
22 13 56.0
22 14 57.0
22 15 46.0
22 16 48.0
22 17 42.0
22 18 38.0
22 19 42.0
22 20 28.0
22 21 26.0
22 22 23.0
22 23 12.0
22 24 9.0
22 25 2.0
22 26 4.0
22 27 2.0
22 28 5.0
22 29 4.0
