x y fscore
0.771 0.600 0.730
0.817 0.511 0.729
0.851 0.464 0.729
0.843 0.473 0.729
0.847 0.469 0.729
0.860 0.453 0.729
0.858 0.455 0.729
0.836 0.482 0.729
0.858 0.455 0.729
0.835 0.481 0.728
0.842 0.473 0.728
0.839 0.476 0.728
0.865 0.445 0.728
0.865 0.445 0.728
0.771 0.594 0.728
0.820 0.501 0.728
0.834 0.481 0.727
0.886 0.423 0.727
0.831 0.485 0.727
0.855 0.455 0.727
0.802 0.529 0.727
0.866 0.443 0.727
0.834 0.480 0.727
0.829 0.486 0.727
0.828 0.488 0.727
0.885 0.423 0.727
0.842 0.469 0.727
0.865 0.443 0.726
0.885 0.423 0.726
0.815 0.506 0.726
0.833 0.479 0.726
0.825 0.490 0.726
0.861 0.445 0.726
0.864 0.442 0.726
0.864 0.442 0.726
0.833 0.479 0.726
0.884 0.422 0.725
0.830 0.482 0.725
0.807 0.515 0.725
0.850 0.456 0.725
0.817 0.499 0.725
0.803 0.521 0.725
0.778 0.567 0.724
0.842 0.464 0.724
0.828 0.483 0.724
0.852 0.452 0.724
0.827 0.483 0.724
0.851 0.452 0.724
0.851 0.452 0.724
0.772 0.579 0.724
0.783 0.554 0.723
0.852 0.451 0.723
0.859 0.443 0.723
0.866 0.435 0.723
0.841 0.463 0.723
0.841 0.463 0.723
0.841 0.463 0.723
0.839 0.465 0.723
0.750 0.629 0.723
0.857 0.444 0.723
0.782 0.553 0.722
0.824 0.482 0.722
0.838 0.464 0.722
0.838 0.464 0.722
0.843 0.459 0.722
0.828 0.477 0.722
0.865 0.434 0.722
0.865 0.434 0.722
0.865 0.434 0.722
0.865 0.434 0.722
0.865 0.434 0.722
0.865 0.434 0.722
0.838 0.464 0.722
0.768 0.581 0.721
0.837 0.464 0.721
0.864 0.434 0.721
0.864 0.434 0.721
0.864 0.434 0.721
0.878 0.420 0.721
0.756 0.608 0.721
0.867 0.431 0.721
0.867 0.431 0.721
0.867 0.431 0.721
0.867 0.431 0.721
0.755 0.609 0.721
0.849 0.449 0.721
0.762 0.591 0.720
0.840 0.459 0.720
0.832 0.469 0.720
0.836 0.463 0.720
0.866 0.430 0.720
0.866 0.430 0.720
0.866 0.430 0.720
0.866 0.430 0.720
0.836 0.463 0.720
0.815 0.491 0.720
0.833 0.467 0.720
0.827 0.474 0.720
0.835 0.463 0.720
0.851 0.445 0.720
0.851 0.445 0.720
0.851 0.445 0.720
0.839 0.458 0.719
0.841 0.456 0.719
0.766 0.577 0.719
0.838 0.458 0.719
0.741 0.643 0.719
0.742 0.637 0.719
0.843 0.451 0.718
0.838 0.457 0.718
0.849 0.444 0.718
0.849 0.444 0.718
0.849 0.444 0.718
0.849 0.444 0.718
0.865 0.427 0.718
0.811 0.492 0.718
0.823 0.475 0.718
0.845 0.447 0.717
0.849 0.442 0.717
0.748 0.615 0.717
0.864 0.427 0.717
0.863 0.427 0.717
0.814 0.484 0.717
0.829 0.464 0.716
0.829 0.464 0.716
0.766 0.568 0.716
0.862 0.427 0.716
0.849 0.441 0.716
0.831 0.461 0.716
0.829 0.464 0.716
0.863 0.426 0.716
0.821 0.473 0.716
0.798 0.505 0.715
0.857 0.431 0.715
0.840 0.448 0.715
0.852 0.435 0.715
0.828 0.463 0.715
0.839 0.449 0.715
0.737 0.638 0.715
0.837 0.451 0.715
0.826 0.464 0.715
0.738 0.633 0.714
0.798 0.503 0.714
0.858 0.428 0.714
0.766 0.562 0.714
0.804 0.493 0.714
0.865 0.420 0.714
0.829 0.458 0.714
0.803 0.493 0.713
0.849 0.435 0.713
0.836 0.449 0.713
0.759 0.575 0.713
0.821 0.466 0.713
0.864 0.419 0.712
0.823 0.463 0.712
0.764 0.560 0.712
0.863 0.419 0.712
0.798 0.497 0.712
0.863 0.419 0.712
0.854 0.427 0.712
0.862 0.419 0.712
0.831 0.452 0.711
0.833 0.448 0.711
0.788 0.511 0.711
0.833 0.448 0.711
0.834 0.447 0.711
0.745 0.600 0.711
0.833 0.448 0.711
0.846 0.433 0.711
0.773 0.538 0.710
0.846 0.433 0.710
0.875 0.405 0.710
0.847 0.432 0.710
0.738 0.614 0.710
0.792 0.502 0.710
0.770 0.540 0.709
0.828 0.451 0.709
0.828 0.451 0.709
0.756 0.568 0.709
0.747 0.588 0.709
0.749 0.583 0.709
0.863 0.413 0.708
0.863 0.413 0.708
0.828 0.449 0.708
0.827 0.450 0.708
0.801 0.483 0.708
0.733 0.621 0.707
0.780 0.515 0.707
0.826 0.449 0.707
0.854 0.419 0.707
0.794 0.492 0.707
0.851 0.421 0.707
0.784 0.507 0.706
0.799 0.483 0.706
0.778 0.516 0.706
0.762 0.545 0.706
0.801 0.478 0.706
0.803 0.475 0.706
0.746 0.580 0.705
0.865 0.406 0.705
0.842 0.428 0.705
0.865 0.405 0.705
0.800 0.477 0.705
0.793 0.487 0.704
0.793 0.487 0.704
0.732 0.611 0.704
0.824 0.445 0.704
0.735 0.601 0.704
0.863 0.405 0.704
0.788 0.491 0.703
0.843 0.422 0.703
0.782 0.501 0.703
